Lokalisering	Avtalenavn	Elements 	Tilstandsgrad	Startdato	Sluttdato	Utleier	Utleier kategori	Hjemmelshaver	Status	Poststed	Adresselinje 1	Lok: Distrikt	Lok: Område	Type lokasjon	Areal	Antall godkjente plasser	Målgruppe	Antall ansatte per kontor/familievernkontor	Adresse og Postnummer 	kommunenavn	Fylke	Matrikkel Gnr	Matrikkel Bnr	Matrikkel Knr	org nr utleier	Areal inkl fellesareal i leiekontrakt (kvm)	Eksklusivt areal i leiekontrakt (kvm) 	Tillegsareal iht addendum (kvm)	Reduksjon iht addendum (kvm)	tomteareal	leieregulering	forlengelse &vilkår	p-plasser	Kontraktsleie ved oppstart (per år)	kontraktsleie ønkning /reduksjon 	Oppstartsdato (KPI-grunnlag) - Gyldig kontrakt 	Kontaktsleie ved oppstart (gyldig kontrakt)	KPI-justert kontraktsleie til okt 2025	Indre vedlikehold	KPI-justert indre vedlikehold	Felleskostnader per år (ved kontraktsinngåelse) 	Brukeravhengige driftskostander - Første driftsår	Indre vedlikehold pr/kvm	Kostnander: kommunale gebyrer og renovasjon	Kost kortleser	Parkeringsleie kr per år	Merverdikompensasjon per år 	Vaktmestertjenester kr per år	Energi til leieobjektet kr per år	Oppvarming pr år	Renhold pr år	Kontantinnskudd kr	Betaling administrativt arbeid Statsbygg	kommentar 						
2401 - Senter for familie og barn, Molde	Senter for familie og barn, Molde	2008/1260		01.01.2009	31.12.2028	Statsbygg	1		Aktiv	MOLDE	Bastian Withs gt 11	02 - Midt-Norge	04 - Møre og Romsdal	Formålsbygg	296	0	BFS		Bastian Widths gt 11, 6415 Molde	Molde		25	1077	1506	971278374	296					80% av KPI på leie - 100% av KPI på indre vedlikehold 	JA, må vasle utleier om forlengelse min 6 mnd før utløp	inkl 3 p-plasser + 1 i garasje	509000		01.01.2009	509000	735679	11840	18431		24000	40																	
5957 - Bekkegata 2A, 3513 Hønefoss	Ringerike omsorgsenter, avdeling Bredal	2023/84810		01.02.2024	31.01.2029	Hole utbyggings- og eiendomsselskap	2		Aktiv	HØNEFOSS	Bekkegata 2A	05 - Øst	11 - Oslo og Viken	Formålsbygg	232				Bekkegata 2A, 3513 Hønefoss	Ringerike		317	609 (leil 1 &2)	3305	925230731	232				500	100% av KPI på leie	JA, må vasle utleier om forlengelse min 6 mnd før utløp	Leieobjektet inkluderer p-plasser på egen tomt og i garasje.	396000		01.02.2024	396000	411116	622904		48000																			
4701 - ST Hansgården	ST Hansgården	2021/58085-3		01.01.2022	31.12.2041	Statsbygg	1		Aktiv	KRISTIANSAND S	Bispegra 52	04 - Sør	07 - Agder	Formålsbygg	577	6	Akutt		Bispegra 50 og 52, 4632 Kristiansand S	Kristiansand 		42	504	4204	971278374	580					100% av KPI på leie	JA, må vasle utleier om forlengelse min 9 mnd før utløp		373000		01.01.2022	373000	438061	86200	101235		179220	148											* Mangler vedlegg B (Ansvarsfordeling) og vedlegg C (Vedr opphør av leiekontrakt og salg av eiendom)						
5905 - Bjørlistubben 14, 1540 Vestby	Akershus ungdoms- og familiesenter, avdeling Bjørlien	2023/80034		12.01.2017	01.01.2099	J&B Eiendom AS - J&B Eiendom AS	2		Aktiv	VESTBY	Bjørlistubben 14	05 - Øst	11 - Oslo og Viken	Formålsbygg	237	4	Akutt omsorg		Bjørlistubben 14, 1542 Vestby	Vestby		6	38	3216	995407671	237					100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	Parkeringsareal ca 300 kvm	420000 (Leie fra 01.12.2023: 501420)		12.01.2017	420000	599026																 - KPI fra 2021						
5956 - Bjørndalsvegen 178, 2150 Årnes	Lierfoss ungdoms- og familiesenter, hytte Bjørndalen	2023/80123		01.01.2017	01.07.2026	Stangeskovene AS	2		Aktiv	AURSKOG	Bjørndalsvegen 178	05 - Øst	11 - Oslo og Viken	Formålsbygg	200	0			Bjørndalsvegen 178, 2150 Årnes	Nes		159	1	3228	916193971	ikke oppgitt					100% av KPI på leie	JA, må vasle utleier om forlengelse min 3 mnd før utløp		100500		01.01.2017	100500	134549																						
2338 - Fosterhjemstjeneste Steinkjer, Inntak Steinkjer	Fosterhjemstjeneste Steinkjer, Inntak Steinkjer	2008/4959 og 2013/71684		01.01.2019	31.12.2028	Bomveien 3 ANS	2		Aktiv	STEINKJER	Bomveien 3	02 - Midt-Norge	03 - Trøndelag	Kontor	413				Bomvegen 3, 7725 Steinkjer	Steinkjer		197	12676	5006	994241451	413	333				100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	Leieobjektet inkluderer paprkeringplasser i tilknytning til og rundt eiendommen.	444000		01.01.2019	444000	777370			166500																			
3518 - Sogn og Fjordane ungdomssenter Bregnetunet	F4 ungdom - Bregnetunet 15	2023/72743-8		01.01.2024	31.12.2033	Statsbygg	1		Aktiv	FØRDE	Bregnetunet 15	03 - Vest	05 - Vestland	Formålsbygg	873	4	Behandling høy		Bregnetunet 15, 6812 Førde	Sunnfjord		43	314	4647	971278374	873				3217	100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp		1111000		01.01.2024	1111000	1111000	69840	73496		664100	80																	
1107 - Yttrabekken ungdomssenter	Yttrabekken ungdomssenter	2007/16716-34		01.01.2007	31.12.2026	Statsbygg	1		Aktiv	MO I RANA	Brennstadmoen 23	01 - Nord	01 - Nordland	Formålsbygg	918	3	Behandling høy		Brennstadmoen 23 og Åkerhåjen 20, 8614 Mo i Rana	Rana		131	827 og 832	1833	971278374	984					100% av KPI på leie	JA, må vasle utleier om forlengelse min 9 mnd før utløp	inkl p-plasser	2840000		01.04.2024	2840000	2988679	146000	153643		384000	148																	
5161 - Bruvegen 6, 2260 Kirkenær	Kirkenær barnevern og omsorgssenter, Garasje / lager	2024/51920		11.01.2013	11.01.2099	Grue Næringsselskap AS	2		Aktiv	KIRKENÆR	Bruvegen 6	05 - Øst	10 - Innlandet	Formålsbygg	101	0			Bruvegen 6, 2260 Kirkenær	Grue		16	99	3417	983392083	100					100% av KPI på leie			22205		11.01.2013	22205	32115																						
3539 - Bjørgvin ungdomssenter Bønesskogen	F4 ungdom - Bønesskogen 333	2023/72757-11		01.01.2024	31.12.2033	Statsbygg	1		Aktiv	BØNES	Bønesskogen 333	03 - Vest	05 - Vestland	Formålsbygg	653	4	Rus		Bønesskogen 333, 5152 Bønes	Bergen		20	1219	4601	971278374	653				2144	100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp		781000		01.01.2024	781000	821886	52240	54974		101100	80																	
3538 - Bjørgvin ungdomssenter Bønesstølen	F4 ungdom - Bønesstølen 13	2023/72758-4		01.01.2024	31.12.2033	Statsbygg	1		Aktiv	BØNES	Bønesstølen 13	03 - Vest	05 - Vestland	Formålsbygg	1007	4	Rus		Bønesstølen 13, 5152 Bønes	Bergen		20	823	4601	971278374	1007				4317	100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp		1205000		01.01.2024	1205000	1268084	80560	84777		269000	80																	
4804 - Skjerven	Skjerven	2024/50747-1		01.01.2004	31.12.2028	Statsbygg	1		Aktiv	SVARSTAD	Damtjernveien 598	04 - Sør	08 - Vestfold og Telemark	Formålsbygg	1667	4	Rus		Damptjernveien 598, 32 Svarstad	Larvik		99	2 og 17	3909	971278374	1497		 + 170 kvm fra 2015			80% av KPI på leie - 100% av KPI på indre vedlikehold 	JA, må vasle utleier om forlengelse min 6 mnd før utløp		773000 + 517000,- fra nov 2015 (hybelhus)		01.01.2004 / 01.11.2015	1290000	2048943	77280 + 9010 fra nov 2015	145648		115920 + 30000 fra nov 2015	60 + 53 fra nov 2015																	
4804 - Skjerven	Skjerven - Leilighetsbygget	2013/60427-43		01.11.2015	31.12.2028	Statsbygg	1		Aktiv	SVARSTAD	Damtjernveien 598	04 - Sør	08 - Vestfold og Telemark	Formålsbygg	0	0			Damptjernveien 598, 32 Svarstad	Larvik		99	2 og 17	3909	971278374	se hovedkontrakt (170)					80% av KPI på leie - 100% av KPI på indre vedlikehold 	JA, må vasle utleier om forlengelse min 6 mnd før utløp		tillegg til kontrakt (leilighetsbygget)		01.11.2015	tillegg til kontrakt (leilighetsbygget)	Tillegg til kontrakt (leilighetsbygget)				30000	53																	
5111 - Dr. Thorshaugsveg 8, 2335 Stange	Hedmark ungdoms- og familiesenter, avdeling Stange	2023/80040		01.01.2024	31.12.2033	Statsbygg	1		Aktiv	STANGE	Dr. Thorshaugsveg 8	05 - Øst	10 - Innlandet	Formålsbygg	1269	5	Akutt		Dr. Thorshaugs veg 8, 2335 Stange	Stange 		93	207	3413	971278374	1232				5655	80% av KPI på leie - 100% av KPI på indre vedlikehold 	JA, må vasle utleier om forlengelse min 6 mnd før utløp		1098525		01.01.2024	1098525	1119617	73920	77789		123200	60																	
5927 - Egge Gård, 3514 Hønefoss	Ringerike omsorgssenter, avdeling Egge	2023/80019		11.01.2019	01.01.2099	Røisi, Oddvar	2		Aktiv	HØNEFOSS	Egge gård	05 - Øst	11 - Oslo og Viken	Formålsbygg	300				Egge gård, 3514 Hønefoss 	Ringerike 		94	2	3305	969925281	ikke oppgitt					100% av KPI på leie	Leieforholdet løpet på ubestemt tid 	Parkeringsplasser på eiendommen 	203400		11.01.2019	203400	254617																						
1217 - Lamo Ungdomssenter	Lamo Ungdomssenter, tilleggskontrakt 80-tallshuset	2023/74421-3		01.07.2023	30.04.2025	Statsbygg	1		Aktiv	SJØVEGAN	Eideveien 168	01 - Nord	02 - Troms og Finnmark	Formålsbygg	0	0			Laberg 9350 Sjøvegan	Salangen 		43	12, 166 og 336	5417	971278374	232					100% av KPI på leie	JA, må vasle utleier om forlengelse min 6 mnd før utløp		220000		01.07.2023	220000	242559	18735	20656		55000																		
