;;;;;;;;
;;;;;;;;
Periodekalender;2025;;;;;;;
Kapittel Beskrivelse;All;;;;;;;
Kontonummer;(Flere elementer);;;;;;;
;;;;;;;;
Kontantbeløp;Kolonneetiketter;;;;;;;
;Bufetat;;;;;Bufdir;Totalsum;
Radetiketter;Region Midt-Norge;Region Nord;Region Sør;Region Vest;Region Øst;;;
Leie av lokaler og tilknyttede utgifter;;;;;;;;
Leie lokaler andre utleiere;;;;;;;;
;;;;;;  28 488 729;  28 488 729;
Nasjonalt samisk kompetansesenter;;   75 691;;;;;   75 691;
Nye Kvæfjord ungdomssenter;;   299 392;;;;;   299 392;
Nye Lamo ungdomssenter;;   237 601;;;;;   237 601;
Ranheim Vestre;   144 332;;;;;;   144 332;
Region vest senter for foreldre og barn;;;;   215 480;;;   215 480;
Regionale utgifter (regionkontor,fellestjenester);;;;   74 381;;;   74 381;
Regionkontor;   583 551;;   125 833;;   939 458;;  1 648 842;
Ringerike omsorgssenter;;;;;   99 638;;   99 638;
Røvika Ungdomssenter;;   299 896;;;;;   299 896;
Seljelia barne- og  familiesenter;;;;;   253 997;;   253 997;
Senter for foreldre og barn Molde;   85 894;;;;;;   85 894;
Silsand ungdomssenter;;   119 172;;;;;   119 172;
Skjerven rusbehandling ungdom;;;   185 685;;;;   185 685;
Skjoldvegen barnevernsenter;;;;   24 179;;;   24 179;
Sogn og Fjordane ungdomsenter;;;;   6 134;;;   6 134;
Sogn og fjordane Ungdomssenter behandling høy;;;;   6 989;;;   6 989;
Sogndal Ungdomssenter;;;;   1 293;;;   1 293;
Solbakken Barne- og familiesenter;;   111 464;;;;;   111 464;
Sollia barne- og ungdomssenter;;   156 960;;;;;   156 960;
Spesialiserte fosterhjem;;;   72 543;;;;   72 543;
Spillumheimen undomsheim;   35 626;;;;;;   35 626;
St. Hansgården ungdomssenter akutt;;;   77 389;;;;   77 389;
Stab;;   342 427;;;;;   342 427;
Stavanger Akuttsenter Ungdom;;;;   1 610;;;   1 610;
Stavanger ungdomssenter;;;;   1 612;;;   1 612;
Stokke Barnesenter;;;   63 603;;;;   63 603;
Sundstedtråkka ungdomssenter akutt;;;   84 253;;;;   84 253;
Sunnmørsheimen akuttsenter;   31 858;;;;;;   31 858;
Sunnmørsheimen ungdomsheim;   62 175;;;;;;   62 175;
Teknisk;;;   29 964;;;;   29 964;
Telemark barne- og familiesenter;;;   216 431;;;;   216 431;
Telemark og Vestfold ungdomshjem;;;   121 430;;;;   121 430;
Thorøya ungdomshjem;;;   45 599;;;;   45 599;
Tromsø Familievernkontor;;   127 139;;;;;   127 139;
Tromsø ungdomssenter;;   368 401;;;;;   368 401;
Trøndelag behandlingssenter for ungdom;   82 015;;;;;;   82 015;
Vesterålen Familievernkontor;;   138 229;;;;;   138 229;
Vestfold barne- og familiesenter;;;   85 458;;;;   85 458;
Vestfold ungdomssenter;;;   7 119;;;;   7 119;
Vikhovlia akuttsenter;   153 791;;;;;;   153 791;
Viktoria Familiesenter;   15 160;;;;;;   15 160;
Yttrabekken Ungdomshjem;;   96 411;;;;;   96 411;
Østfold ungdoms - og familiesenter - omsorg;;;;;   413 846;;   413 846;
Reparasjon og vedlikehold leide lokaler;;;;;;;;
;;;;;;   33 648;   33 648;
Agder barne- og familiesenter;;;   4 828;;;;   4 828;
Agder ungdomshjem;;;   35 436;;;;   35 436;
Agder ungdomssenter;;;   361 909;;;;   361 909;
Akershus ungdoms- og familiesenter;;;;;   46 274;;   46 274;
Alta Ungdomssenter;;   18 615;;;;;   18 615;
Barkåker ungdomssenter;;;   73 772;;;;   73 772;
Bjørgvin Ungdomssenter;;;;   66 878;;;   66 878;
Bodø behandlingssenter;;   83 714;;;;;   83 714;
Bodø Familievernkontor;;   10 977;;;;;   10 977;
Bufetats behandlingssenter Akershus_Østfold;;;;;   121 939;;   121 939;
Clausenengen ungdomshjem;   19 105;;;;;;   19 105;
Eikelund Ungdomssenter;;;;   16 090;;;   16 090;
Enhet for inntak, Bufetat region sør;;;   16 005;;;;   16 005;
Enhet for spesialiserte fosterhjem;;   1 632;;;;;   1 632;
Enhet for spesialiserte fosterhjem - region Øst;;;;;   1 758;;   1 758;
Familievernets spisskompetansemiljø for vold og høykonflikt;;;;;   4 386;;   4 386;
Familievernkontorene Drammen-Kongsberg;;;   25 665;;;;   25 665;
Familievernkontoret  Enerhaugen;;;;;   7 513;;   7 513;
Familievernkontoret  Homansbyen;;;;;   62 573;;   62 573;
Familievernkontoret for Bergen og omland;;;;    824;;;    824;
Familievernkontoret Levanger;   375 082;;;;;;   375 082;
Familievernkontoret Molde;   111 188;;;;;;   111 188;
Familievernkontoret Østfold;;;;;   5 499;;   5 499;
Familievernkontoret Øvre Romerike Glåmdalen;;;;;    ;;    ;
FHT region nord;;   11 126;;;;;   11 126;
Finnsnes Familievernkontor;;   24 383;;;;;   24 383;
Fosterhjemstjenesten, Bufetat region sør;;;   21 326;;;;   21 326;
Gilantunet ungdomshjem;   230 193;;;;;;   230 193;
Grøterød ungdomshjem;;;   6 348;;;;   6 348;
Gullhella barne- og  familiesenter;;;;;   85 213;;   85 213;
Hedmark ungdoms- og familiesenter - akutt;;;;;   31 346;;   31 346;
Humla Akuttsenter;   105 380;;;;;;   105 380;
Innlandet barnevernsenter;;;;;   365 104;;   365 104;
Jong ungdoms- og familiesenter;;;;;   144 463;;   144 463;
Justøya behandling ungdom;;;    ;;;;    ;
Karienborg ungdomsheim;   130 408;;;;;;   130 408;
Kasa Ungdomssenter;;;;   12 657;;;   12 657;
Katfoss behandling ungdom;;;   493 435;;;;   493 435;
Kirkenær barnevern- og omsorgssenter;;;;;   264 871;;   264 871;
Klokkerhuset ungdomssenter akutt;;;   20 201;;;;   20 201;
Kollen ungdomsbase;  1 976 143;;;;;;  1 976 143;
Kontorfaglig enhet;;;;   33 666;;;   33 666;
Kvammen akuttinstitusjon;   901 104;;;;;;   901 104;
Lierfoss ungdoms- og familiesenter - omsorg;;;;;   148 980;;   148 980;
Lunde behandlingssenter;;;   60 357;;;;   60 357;
MST region sør;;;   15 896;;;;   15 896;
MST Trøndelag Nord;   262 890;;;;;;   262 890;
Nasjonal enhet for behandlingstiltak;    261;;;;;;    261;
Nye Kvæfjord ungdomssenter;;   237 761;;;;;   237 761;
Nye Lamo ungdomssenter;;   49 750;;;;;   49 750;
Ranheim Vestre;   126 845;;;;;;   126 845;
Region vest senter for foreldre og barn;;;;   59 511;;;   59 511;
Regionale utgifter (regionkontor,fellestjenester);;;;   216 237;;;   216 237;
Regionkontor;   165 868;;    804;;   805 226;;   971 898;
Ringerike omsorgssenter;;;;;   486 573;;   486 573;
Røvika Ungdomssenter;;   50 273;;;;;   50 273;
Senter for foreldre og barn Molde;   251 478;;;;;;   251 478;
Silsand ungdomssenter;;   86 569;;;;;   86 569;
Skjerven rusbehandling ungdom;;;    276;;;;    276;
Skjoldvegen barnevernsenter;;;;   4 593;;;   4 593;
Sogn og Fjordane ungdomsenter;;;;-   349 750;;;-   349 750;
Sogn og fjordane Ungdomssenter behandling høy;;;;   392 863;;;   392 863;
Solbakken Barne- og familiesenter;;   3 637;;;;;   3 637;
Sollia barne- og ungdomssenter;;   80 438;;;;;   80 438;
Spesialiserte fosterhjem;;;   5 923;;;;   5 923;
St. Hansgården ungdomssenter akutt;;;   13 744;;;;   13 744;
Stab;;   28 084;;;;;   28 084;
Stavanger ungdomssenter;;;;   71 006;;;   71 006;
Stokke Barnesenter;;;   3 659;;;;   3 659;
Sundstedtråkka ungdomssenter akutt;;;   306 742;;;;   306 742;
Sunnmørsheimen akuttsenter;   13 661;;;;;;   13 661;
Sunnmørsheimen ungdomsheim;   22 430;;;;;;   22 430;
Teknisk;;;    ;;;;    ;
Telemark og Vestfold ungdomshjem;;;   54 478;;;;   54 478;
Thorøya ungdomshjem;;;   645 334;;;;   645 334;
Tromsø Familievernkontor;;   97 321;;;;;   97 321;
Trøndelag behandlingssenter for ungdom;   369 183;;;;;;   369 183;
Vestfold barne- og familiesenter;;;   6 526;;;;   6 526;
Vestfold ungdomssenter;;;   3 631;;;;   3 631;
Vikhovlia akuttsenter;   103 460;;;;;;   103 460;
Viktoria Familiesenter;   312 049;;;;;;   312 049;
Yttrabekken Ungdomshjem;;   64 476;;;;;   64 476;
Østfold ungdoms - og familiesenter - omsorg;;;;;   124 352;;   124 352;
Annen kostnad lokaler;;;;;;;;
;;;;;;   271 036;   271 036;
Agder barne- og familiesenter;;;   38 453;;;;   38 453;
Agder ungdomshjem;;;  2 850 830;;;;  2 850 830;
Agder ungdomssenter;;;   84 837;;;;   84 837;
Akershus ungdoms- og familiesenter;;;;;   222 289;;   222 289;
Akershus ungdoms- og familiesenter - akutt;;;;;   1 538;;   1 538;
Alta / Hammerfest FV;;   5 128;;;;;   5 128;
Alta Ungdomssenter;;   11 194;;;;;   11 194;
Avdelingsdirektør inntak og fosterhjemsrekruttering;;   15 507;;;;;   15 507;
Avdelingsdirektør omsorg for ungdom og behandling av ungdom;;   6 059;;;;;   6 059;
Barkåker ungdomssenter;;;   32 709;;;;   32 709;
Bergen Akuttsenter Ungdom;;;;   64 455;;;   64 455;
Bjørgvin Ungdomssenter;;;;   48 364;;;   48 364;
Bodø behandlingssenter;;   18 802;;;;;   18 802;
Borg barne- og  familiesenter;;;;;   7 269;;   7 269;
Bufetats behandlingssenter Akershus_Østfold;;;;;   171 648;;   171 648;
Clausenengen ungdomshjem;   9 599;;;;;;   9 599;
Eikelund Ungdomssenter;;;;   87 721;;;   87 721;
Enhet for inntak, Bufetat region midt;   2 119;;;;;;   2 119;
Enhet for inntak, Bufetat region nord;;   19 345;;;;;   19 345;
Enhet for inntak, Bufetat region sør;;;   54 559;;;;   54 559;
Enhet for spesialiserte fosterhjem;;   5 722;;;;;   5 722;
Enhet for spesialiserte fosterhjem - region Øst;;;;;   3 571;;   3 571;
Familievernkontoret  Enerhaugen;;;;;   75 227;;   75 227;
Familievernkontoret  Homansbyen;;;;;   2 350;;   2 350;
Familievernkontoret for Bergen og omland;;;;   28 524;;;   28 524;
Familievernkontoret Innlandet Øst;;;;;    888;;    888;
Familievernkontoret Levanger;   149 862;;;;;;   149 862;
Familievernkontoret Molde;   24 919;;;;;;   24 919;
Familievernkontoret Namsos;    666;;;;;;    666;
Familievernkontoret Nedre Romerike;;;;;   12 887;;   12 887;
Familievernkontoret Østfold;;;;;   12 679;;   12 679;
FHT region nord;;   6 123;;;;;   6 123;
Finnsnes Familievernkontor;;   5 237;;;;;   5 237;
Fosterhjemstjenesten, Bufetat region midt;   4 313;;;;;;   4 313;
Fosterhjemstjenesten, Bufetat region sør;;;   81 853;;;;   81 853;
Fosterhjemstjenesten, Bufetat region øst;;;;;   20 343;;   20 343;
Gilantunet ungdomshjem;   51 323;;;;;;   51 323;
Grøterød ungdomshjem;;;   4 028;;;;   4 028;
Gullhella barne- og  familiesenter;;;;;   3 830;;   3 830;
Harstad / Narvik FV;;   87 061;;;;;   87 061;
Hedmark ungdoms- og familiesenter - akutt;;;;;   101 849;;   101 849;
Humla Akuttsenter;   62 201;;;;;;   62 201;
Husafjellheimen ungdomsheim;   32 993;;;;;;   32 993;
Indre Finnmark Familievernkontor;;   12 067;;;;;   12 067;
Jong ungdoms- og familiesenter;;;;;   2 645;;   2 645;
Karienborg ungdomsheim;   3 133;;;;;;   3 133;
Kasa Ungdomssenter;;;;   45 530;;;   45 530;
Katfoss behandling ungdom;;;   11 803;;;;   11 803;
Kirkenær barnevern- og omsorgssenter;;;;;   17 609;;   17 609;
Klokkerhuset ungdomssenter akutt;;;   248 309;;;;   248 309;
Kollen ungdomsbase;   133 190;;;;;;   133 190;
Kontorfaglig enhet;;;;   9 444;;;   9 444;
Kvammen akuttinstitusjon;   441 822;;;;;;   441 822;
Lunde behandlingssenter;;;   20 864;;;;   20 864;
Lågen ungdomshjem;;;   1 120;;;;   1 120;
MST Bodø;;    18;;;;;    18;
MST Mo i Rana;;   1 531;;;;;   1 531;
MST region sør;;;   44 634;;;;   44 634;
MST Sunnmøre;   2 975;;;;;;   2 975;
MST Trøndelag Nord;   17 290;;;;;;   17 290;
Nasjonalt samisk kompetansesenter;;   97 103;;;;;   97 103;
Nye Kvæfjord ungdomssenter;;   218 495;;;;;   218 495;
Ranheim Vestre;   10 107;;;;;;   10 107;
Region vest senter for foreldre og barn;;;;   83 246;;;   83 246;
Regionale felleskostnader;   869 187;;;;;;   869 187;
Regionkontor;   50 475;;   10 355;;   609 517;;   670 347;
Ringerike omsorgssenter;;;;;   1 211;;   1 211;
Røvika Ungdomssenter;;   18 612;;;;;   18 612;
Sandnes Ungdomssenter;;;;   12 917;;;   12 917;
Seljelia barne- og  familiesenter;;;;;   9 171;;   9 171;
Senter for foreldre og barn Molde;   65 307;;;;;;   65 307;
Silsand ungdomssenter;;   25 997;;;;;   25 997;
Skjoldvegen barnevernsenter;;;;   1 926;;;   1 926;
Sogn og fjordane Ungdomssenter behandling høy;;;;   6 064;;;   6 064;
Solbakken Barne- og familiesenter;;   22 269;;;;;   22 269;
Sollia barne- og ungdomssenter;;   1 416;;;;;   1 416;
Spesialiserte fosterhjem;;;   33 671;;;;   33 671;
St. Hansgården ungdomssenter akutt;;;   39 367;;;;   39 367;
Stab;;   38 457;;;;;   38 457;
Stavanger Akuttsenter Ungdom;;;;   14 364;;;   14 364;
Stavanger ungdomssenter;;;;   99 074;;;   99 074;
Stokke Barnesenter;;;   1 559;;;;   1 559;
Sundstedtråkka ungdomssenter akutt;;;    647;;;;    647;
Sunnmørsheimen akuttsenter;   21 571;;;;;;   21 571;
Sunnmørsheimen ungdomsheim;   21 406;;;;;;   21 406;
Teknisk;;;    ;;;;    ;
Telemark barne- og familiesenter;;;   29 690;;;;   29 690;
Telemark og Vestfold ungdomshjem;;;   1 409;;;;   1 409;
Thorøya ungdomshjem;;;   7 144;;;;   7 144;
Tromsø Familievernkontor;;   3 345;;;;;   3 345;
Tromsø ungdomssenter;;   41 282;;;;;   41 282;
Trøndelag behandlingssenter for ungdom;   108 976;;;;;;   108 976;
Vesterålen Familievernkontor;;    592;;;;;    592;
Vestfold barne- og familiesenter;;;   18 168;;;;   18 168;
Vestfold ungdomssenter;;;    16;;;;    16;
Vikhovlia akuttsenter;   108 474;;;;;;   108 474;
Viktoria Familiesenter;   144 648;;;;;;   144 648;
Yttrabekken Ungdomshjem;;   28 609;;;;;   28 609;
Østfold ungdoms - og familiesenter - omsorg;;;;;   42 938;;   42 938;
Fellesutgifter Statsbygg - indre vedlikehold;;;;;;;;
Agder ungdomshjem;;;   186 256;;;;   186 256;
Agder ungdomssenter;;;   46 464;;;;   46 464;
Alta Ungdomssenter;;   175 336;;;;;   175 336;
Barkåker ungdomssenter;;;   124 099;;;;   124 099;
Bergen Akuttsenter Ungdom;;;;   175 512;;;   175 512;
Bjørgvin Ungdomssenter;;;;   135 924;;;   135 924;
Bodø behandlingssenter;;   55 667;;;;;   55 667;
Buskerud barne- og familiesenter;;;   419 276;;;;   419 276;
Clausenengen ungdomshjem;   23 128;;;;;;   23 128;
Eikelund Ungdomssenter;;;;   23 200;;;   23 200;
Enhet for spesialiserte fosterhjem;;   9 149;;;;;   9 149;
FHT region nord;;   23 633;;;;;   23 633;
Grøterød ungdomshjem;;;   98 412;;;;   98 412;
Husafjellheimen ungdomsheim;   118 796;;;;;;   118 796;
Karienborg ungdomsheim;   102 853;;;;;;   102 853;
Kasa Ungdomssenter;;;;   104 664;;;   104 664;
Klokkerhuset ungdomssenter akutt;;;   34 822;;;;   34 822;
Kollen ungdomsbase;   43 574;;;;;;   43 574;
Kvammen akuttinstitusjon;   267 012;;;;;;   267 012;
Lunde behandlingssenter;;;   84 800;;;;   84 800;
Lågen ungdomshjem;;;   93 664;;;;   93 664;
Nasjonalt samisk kompetansesenter;;   1 964;;;;;   1 964;
Nye Kvæfjord ungdomssenter;;   155 681;;;;;   155 681;
Nye Lamo ungdomssenter;;   122 928;;;;;   122 928;
Region vest senter for foreldre og barn;;;;   416 372;;;   416 372;
Regionale utgifter (regionkontor,fellestjenester);;;;   148 464;;;   148 464;
Regionkontor;;;;;  2 224 178;;  2 224 178;
Røvika Ungdomssenter;;   409 682;;;;;   409 682;
Sandnes Ungdomssenter;;;;   128 188;;;   128 188;
Senter for foreldre og barn Molde;   17 912;;;;;;   17 912;
Skjerven rusbehandling ungdom;;;   138 729;;;;   138 729;
Skjoldvegen barnevernsenter;;;;   122 640;;;   122 640;
Sogn og Fjordane ungdomsenter;;;;   72 939;;;   72 939;
Sogn og fjordane Ungdomssenter behandling høy;;;;   53 613;;;   53 613;
Sogndal Ungdomssenter;;;;   59 253;;;   59 253;
Solbakken Barne- og familiesenter;;   96 283;;;;;   96 283;
Sollia barne- og ungdomssenter;;   128 742;;;;;   128 742;
Spillumheimen undomsheim;   77 334;;;;;;   77 334;
St. Hansgården ungdomssenter akutt;;;   98 460;;;;   98 460;
Stab;;   2 161;;;;;   2 161;
Stavanger Akuttsenter Ungdom;;;;   182 360;;;   182 360;
Stavanger ungdomssenter;;;;   754 226;;;   754 226;
Stokke Barnesenter;;;   49 824;;;;   49 824;
Telemark barne- og familiesenter;;;   85 429;;;;   85 429;
Telemark og Vestfold ungdomshjem;;;   110 432;;;;   110 432;
Tromsø ungdomssenter;;   164 788;;;;;   164 788;
Trøndelag behandlingssenter for ungdom;   32 056;;;;;;   32 056;
Viktoria Familiesenter;   92 484;;;;;;   92 484;
Yttrabekken Ungdomshjem;;   112 074;;;;;   112 074;
Leie parkeringsplass;;;;;;;;
Adferdssenter Ungdom;;;;   89 321;;;   89 321;
Agder barne- og familiesenter;;;   147 048;;;;   147 048;
Agder ungdomshjem;;;   6 452;;;;   6 452;
Agder ungdomssenter;;;   9 504;;;;   9 504;
Akershus ungdoms- og familiesenter;;;;;   5 000;;   5 000;
Alta / Hammerfest FV;;    754;;;;;    754;
Avdelingsdirektør omsorg for ungdom og behandling av ungdom;;   8 760;;;;;   8 760;
Bufetats behandlingssenter Akershus_Østfold;;;;;   10 000;;   10 000;
Clausenengen ungdomshjem;   14 058;;;;;;   14 058;
Enhet for inntak, Bufetat region nord;;    646;;;;;    646;
Enhet for inntak, Bufetat region sør;;;   506 097;;;;   506 097;
Enhet for inntak, Bufetat region øst;;;;;   45 613;;   45 613;
Enhet for spesialiserte fosterhjem - region Øst;;;;;   1 475;;   1 475;
Familiehjem i region vest;;;;   11 883;;;   11 883;
Familievernkontorene Drammen-Kongsberg;;;   127 563;;;;   127 563;
Familievernkontoret  Asker og Bærum;;;;;   9 936;;   9 936;
Familievernkontoret  Enerhaugen;;;;;    ;;    ;
Familievernkontoret i Vestfold;;;   132 355;;;;   132 355;
Familievernkontoret Levanger;   13 524;;;;;;   13 524;
FHT region nord;;   190 396;;;;;   190 396;
Fosterhjemstjenesten, Bufetat region midt;   21 564;;;;;;   21 564;
Fosterhjemstjenesten, Bufetat region sør;;;   604 180;;;;   604 180;
Fosterhjemstjenesten, Bufetat region øst;;;;;   121 420;;   121 420;
Harstad / Narvik FV;;   6 125;;;;;   6 125;
Karienborg ungdomsheim;   16 319;;;;;;   16 319;
Kirkenær barnevern- og omsorgssenter;;;;;   1 475;;   1 475;
Klokkerhuset ungdomssenter akutt;;;   98 444;;;;   98 444;
Kontorfaglig enhet;;;;   374 296;;;   374 296;
MST Mo i Rana;;   35 740;;;;;   35 740;
MST region sør;;;   287 508;;;;   287 508;
MST Tromsø;;   86 448;;;;;   86 448;
MST Trøndelag Nord;   19 649;;;;;;   19 649;
Nasjonal enhet for godkjenning og etterfølgende kontroll av private institusjoner;;;;;   16 841;;   16 841;
Nye Kvæfjord ungdomssenter;;   4 380;;;;;   4 380;
Regiondirektøren;;   21 120;;;;;   21 120;
Regionkontor;;;   491 796;;   125 280;;   617 076;
Røvika Ungdomssenter;;   39 399;;;;;   39 399;
Seksjon adopsjon;;;;;   37 892;;   37 892;
Seljelia barne- og  familiesenter;;;;;   13 313;;   13 313;
Senter for foreldre og barn Molde;   10 000;;;;;;   10 000;
Spesialiserte fosterhjem;;;   135 413;;;;   135 413;
Stab;;   21 795;;;;;   21 795;
Stavanger ungdomssenter;;;;    203;;;    203;
Teknisk;;;    ;;;;    ;
Telemark og Vestfold ungdomshjem;;;   9 331;;;;   9 331;
Trøndelag behandlingssenter for ungdom;   86 073;;;;;;   86 073;
Vestfold barne- og familiesenter;;;   158 452;;;;   158 452;
Vestfold ungdomssenter;;;   7 021;;;;   7 021;
Vakthold lokaler;;;;;;;;
;;;;;;   38 335;   38 335;
Agder barne- og familiesenter;;;   3 321;;;;   3 321;
Agder ungdomshjem;;;   64 138;;;;   64 138;
Agder ungdomssenter;;;   276 707;;;;   276 707;
Akershus ungdoms- og familiesenter;;;;;   14 708;;   14 708;
Barkåker ungdomssenter;;;   2 899;;;;   2 899;
Bjørgvin Ungdomssenter;;;;    375;;;    375;
Bodø behandlingssenter;;   77 224;;;;;   77 224;
Borg barne- og  familiesenter;;;;;   11 397;;   11 397;
Bufetats behandlingssenter Akershus_Østfold;;;;;   110 972;;   110 972;
Buskerud barne- og familiesenter;;;   29 593;;;;   29 593;
Clausenengen ungdomshjem;   10 438;;;;;;   10 438;
Enhet for inntak, Bufetat region sør;;;   13 685;;;;   13 685;
Enhet for inntak, Bufetat region øst;;;;;   2 361;;   2 361;
Enhet for spesialiserte fosterhjem - region Øst;;;;;    304;;    304;
Familievernkontorene Drammen-Kongsberg;;;   83 841;;;;   83 841;
Familievernkontoret  Enerhaugen;;;;;   4 661;;   4 661;
Familievernkontoret for Bergen og omland;;;;   9 079;;;   9 079;
Familievernkontoret i Vestfold;;;   12 193;;;;   12 193;
Familievernkontoret Nedre Romerike;;;;;   3 131;;   3 131;
Familievernkontoret Ålesund;   3 518;;;;;;   3 518;
FHT region nord;;    864;;;;;    864;
Fosterhjemstjenesten, Bufetat region sør;;;   12 982;;;;   12 982;
Fosterhjemstjenesten, Bufetat region øst;;;;;   2 685;;   2 685;
Gilantunet ungdomshjem;   47 120;;;;;;   47 120;
Gullhella barne- og  familiesenter;;;;;   48 118;;   48 118;
Hedmark ungdoms- og familiesenter - akutt;;;;;   400 226;;   400 226;
Innlandet barnevernsenter;;;;;   9 750;;   9 750;
Jong ungdoms- og familiesenter;;;;;   32 401;;   32 401;
Katfoss behandling ungdom;;;   48 894;;;;   48 894;
Klokkerhuset ungdomssenter akutt;;;   21 187;;;;   21 187;
Kontorfaglig enhet;;;;   161 983;;;   161 983;
Kvammen akuttinstitusjon;   39 649;;;;;;   39 649;
Lierfoss ungdoms- og familiesenter - omsorg;;;;;   28 969;;   28 969;
Lunde behandlingssenter;;;   102 744;;;;   102 744;
MST region sør;;;   9 197;;;;   9 197;
Multisystemisk  terapi-team Sarpsborg;;;;;    854;;    854;
Nasjonal enhet for behandlingstiltak;    68;;;;;;    68;
Region vest senter for foreldre og barn;;;;    656;;;    656;
Regionkontor;   2 938;;   45 075;;   15 728;;   63 740;
Ringerike omsorgssenter;;;;;   12 022;;   12 022;
Røvika Ungdomssenter;;    ;;;;;    ;
Senter for foreldre og barn Molde;   6 584;;;;;;   6 584;
Skjerven rusbehandling ungdom;;;   7 616;;;;   7 616;
Spesialiserte fosterhjem;;;   1 859;;;;   1 859;
St. Hansgården ungdomssenter akutt;;;   107 414;;;;   107 414;
Stokke Barnesenter;;;    454;;;;    454;
Sundstedtråkka ungdomssenter akutt;;;   22 472;;;;   22 472;
Sunnmørsheimen akuttsenter;   1 448;;;;;;   1 448;
Sunnmørsheimen ungdomsheim;   3 349;;;;;;   3 349;
Teknisk;;;    ;;;;    ;
Telemark barne- og familiesenter;;;   19 637;;;;   19 637;
Telemark og Vestfold ungdomshjem;;;   1 276;;;;   1 276;
Thorøya ungdomshjem;;;   1 175;;;;   1 175;
Tromsø ungdomssenter;;   13 196;;;;;   13 196;
Trøndelag behandlingssenter for ungdom;   18 261;;;;;;   18 261;
Vestfold barne- og familiesenter;;;   14 965;;;;   14 965;
Vestfold ungdomssenter;;;    583;;;;    583;
Viktoria Familiesenter;   24 481;;;;;;   24 481;
Yttrabekken Ungdomshjem;;   3 350;;;;;   3 350;
Østfold ungdoms - og familiesenter - omsorg;;;;;   5 774;;   5 774;
Vaktmestertjenester;;;;;;;;
;;;;;;   1 425;   1 425;
Agder barne- og familiesenter;;;    155;;;;    155;
Agder ungdomssenter;;;   15 048;;;;   15 048;
Akershus ungdoms- og familiesenter;;;;;   63 707;;   63 707;
Alta / Hammerfest FV;;   7 943;;;;;   7 943;
Barkåker ungdomssenter;;;   95 190;;;;   95 190;
Bodø behandlingssenter;;   52 355;;;;;   52 355;
Borg barne- og  familiesenter;;;;;   4 385;;   4 385;
Enhet for inntak, Bufetat region nord;;   7 892;;;;;   7 892;
Enhet for inntak, Bufetat region sør;;;   7 845;;;;   7 845;
Enhet for inntak, Bufetat region øst;;;;;   3 754;;   3 754;
Enhet for spesialiserte fosterhjem;;   7 929;;;;;   7 929;
Enhet for spesialiserte fosterhjem - region Øst;;;;;   4 934;;   4 934;
Familievernkontoret  Asker og Bærum;;;;;   7 070;;   7 070;
Familievernkontoret i Vestfold;;;   5 500;;;;   5 500;
Familievernkontoret Innlandet Øst;;;;;   1 163;;   1 163;
FHT region nord;;   18 714;;;;;   18 714;
Finnsnes Familievernkontor;;   1 500;;;;;   1 500;
Fosterhjemstjenesten, Bufetat region sør;;;   7 171;;;;   7 171;
Fosterhjemstjenesten, Bufetat region øst;;;;;   5 099;;   5 099;
Gilantunet ungdomshjem;   202 450;;;;;;   202 450;
Hedmark ungdoms- og familiesenter - akutt;;;;;   3 247;;   3 247;
Innlandet barnevernsenter;;;;;   89 830;;   89 830;
Kasa Ungdomssenter;;;;   3 466;;;   3 466;
Klokkerhuset ungdomssenter akutt;;;   103 857;;;;   103 857;
Kvammen akuttinstitusjon;   23 391;;;;;;   23 391;
Lierfoss ungdoms- og familiesenter - omsorg;;;;;   19 625;;   19 625;
MST Bodø;;   2 384;;;;;   2 384;
MST region sør;;;   9 725;;;;   9 725;
Multisystemisk  terapi-team Sarpsborg;;;;;   1 589;;   1 589;
Nye Lamo ungdomssenter;;   76 375;;;;;   76 375;
Regionkontor;;;   3 873;;   18 348;;   22 221;
Ringerike omsorgssenter;;;;;   2 653;;   2 653;
Røvika Ungdomssenter;;   6 315;;;;;   6 315;
Silsand ungdomssenter;;   72 750;;;;;   72 750;
Skjoldvegen barnevernsenter;;;;   14 344;;;   14 344;
Solbakken Barne- og familiesenter;;   178 958;;;;;   178 958;
Sollia barne- og ungdomssenter;;   47 270;;;;;   47 270;
Spesialiserte fosterhjem;;;   1 146;;;;   1 146;
Stab;;   15 849;;;;;   15 849;
Sundstedtråkka ungdomssenter akutt;;;   76 998;;;;   76 998;
Teknisk;;;    ;;;;    ;
Telemark og Vestfold ungdomshjem;;;    165;;;;    165;
Trøndelag behandlingssenter for ungdom;   489 609;;;;;;   489 609;
Vestfold barne- og familiesenter;;;   5 513;;;;   5 513;
Vestfold ungdomssenter;;;    171;;;;    171;
Vikhovlia akuttsenter;   4 753;;;;;;   4 753;
Østfold ungdoms - og familiesenter - omsorg;;;;;    937;;    937;
Renovasjon, vann, avløp o.l.;;;;;;;;
Agder barne- og familiesenter;;;   10 273;;;;   10 273;
Agder ungdomshjem;;;   9 969;;;;   9 969;
Agder ungdomssenter;;;   40 263;;;;   40 263;
Alta / Hammerfest FV;;   4 825;;;;;   4 825;
Alta Ungdomssenter;;   1 817;;;;;   1 817;
Avdelingsdirektør inntak og fosterhjemsrekruttering;;   1 757;;;;;   1 757;
Barkåker ungdomssenter;;;   57 192;;;;   57 192;
Bjørgvin Ungdomssenter;;;;    100;;;    100;
Bodø behandlingssenter;;   59 922;;;;;   59 922;
