Lokalisering	Avtalenavn	Elements	Tilstandsgrad	Startdato	Sluttdato	Utleier	Utleier kategori	Hjemmelshaver	Status	Poststed	Adresselinje 1	Lok: Distrikt	Lok: Område	Type lokasjon	Areal	Antall godkjente plasser	Målgruppe	Adresse og Postnummer	kommunenavn	Fylke	Matrikkel Gnr	Matrikkel Bnr	Matrikkel Knr	org nr utleier	Areal inkl fellesareal i leiekontrakt (kvm)	Eksklusivt areal i leiekontrakt (kvm)	Tillegsareal iht addendum (kvm)	Reduksjon iht addendum (kvm)	tomteareal	leieregulering	Forlengelse og vilkår	p-plasser	Kontraktsleie ved oppstart (per år)	Kontraktsleie økning/reduksjon	Felleskostnader per år (ved kontraktsinngåelse)	Brukeravhengige driftskostander - Første driftsår	Kostnad til indre vedlikehold per år	Indre vedlikehold pr/kvm	Kostnader: kommunale gebyrer og renovasjon	Kostnad kortleser	Parkeringsleie kr per år	Merverdikompensasjon per år	Vaktmestertjenester kr per år	Energi til leieobjektet kr per år	Oppvarming pr år	Renhold pr år	Kontantinnskudd kr	Betaling administrativt arbeid Statsbygg	kommentar
5118 - Energivegen 17,2260 Kirkenær	Kirkenær barnevern og omsorgssenter - Furubo			05.01.2009	31.12.2029	Grue kommune	2		Aktiv	Kirkenær	Energivegen 17	05 - Øst	10 - Innlandet	Formålsbygg	385		EMA	Energivegen 19, 2260 Kirkenær	Grue		29	14	3417	964948143	ikke oppgitt					100% av KPI på leie	Leieforholdet løpet på ubestemt tid		571416																*Arealoversikt og tegninger ikke vedlagt leieavtale.
5118 - Skolegata 53, 1724 Sarpsborg	Østfold ungdoms- og familiesenter, avdeling Fossen			01.07.2023	01.07.2099	Aram Khidriyan	2		Aktiv	Sarpsborg	Skolegata 53	05 - Øst	11 - Oslo og Viken	Formålsbygg	299	0		Skolegata 53, 1724 Sarpsborg	Sarpsborg		ikke oppgitt	ikke oppgitt	3105	privat	ikke oppgitt					100% av KPI på leie	Leieforholdet løpet på ubestemt tid	Parkeringsplass/garasje. * Vilkår rundt bindetid avhenging av godkjennelse på ombygging av garasje til kontor.	492000																
5119 - Energivegen 13, 2260 Kirkenær	Kirkenær barnevern og omsorgssenter			05.01.2009	31.12.2029	Grue kommune	2		Aktiv	Kirkenær	Energivegen 13	05 - Øst	10 - Innlandet	Kontor	517			Energivegen 13, 2260 Kirkenær	Grue				3417	964948143	1982					100% av KPI på leie	JA, gitt visse vilkår		3950126																* husleie kan reforhandles etter 13 år.
5120 - Gartneriveien 8, 2260 Kirkenær	Kirkenær barnevern og omsorgssenter - Snorre			05.01.2009	31.12.2029	Grue kommune	2		Aktiv	Kirkenær	Gartneriveien 8	05 - Øst	10 - Innlandet	Formålsbygg	392	8	Omsorg	Gartnerivegen 8, 2260 Kirkenær																															
5121 - Kirkenærtunet 27, 2260 Kirkenær	Kirkenær barnevern og omsorgssenter - Kirkenærtunet			05.01.2009	31.12.2029	Grue kommune	2		Aktiv	Kirkenær	Kirkenærtunet 27	05 - Øst	10 - Innlandet	Formålsbygg	410		EMA	Kirkenærtunet 27, 2260 Kirkenær																															
5123 - Snorres vei 2, 2260 Kirkenær	Kirkenær barnevern og omsorgssenter - Frigg og Frydenlund			06.01.2005	31.12.2026	Statsbygg	1		Aktiv	Kirkenær	Snorres veg 2	05 - Øst	10 - Innlandet	Formålsbygg	829	2	Omsorg	Snorres veg 2, 2260 Kirkenær	Grue		15	1 (fnr14)	3417	971278374	829				5000	80% av KPI på leie - 100% av KPI på indre vedlikehold	JA, må vasle utleier om forlengelse min 6 mnd før utløp		360000			105000	49000	60											* festet tomt fra opplysningsvesenets fond.
5125 - Veslekila 1, 2260 Kirkenær	Kirkenær barnevern- og omsorgssenter - Edda			01.11.2023	01.11.2099	Grue kommune	2		Aktiv	Kirkenær	Veslekila 1	05 - Øst	10 - Innlandet	Formålsbygg	308	3	Omsorg	Veslekila 1, 2260 Kirkenær	Grue		22	135	3226	964948143	Ikke oppgitt					100% av KPI på leie	Leieforholdet løper på ubestemt tid	Parkeringsplass og garasje med bod	305232																
5126 - Jernbanevegen 70, 2260 Kirkenær	Kirkenær barnevern og omsorgssenter - Balder			16.11.2020	16.11.2099	Grue kommune	2		Aktiv	Kirkenær	Jernbaneveien 70	05 - Øst	10 - Innlandet	Formålsbygg	308	2	Omsorg	Jernbanevegen 70, 2260 Kirkenær	Grue		16	163	3417	964948143	ikke oppgitt					100% av KPI på leie	Leieforholdet løpet på ubestemt tid	perkeringsplass inkl (antall ikke oppgitt)	213144																* Arealoversikt ikke vedlagt leiekontrakt
5128 - Strandsagvegen 2 D, 2383 Brumunddal	Faggrupper i Hedmark, kontorlokaler			01.08.2022	31.07.2032	Golhus AS	2		Aktiv	Brumunddal	Strandsagvegen 2 D	05 - Øst	10 - Innlandet	Kontor	969			Strandsagvegen 2D, 2383 Brumunddal	Ringsaker		1	313	3411	987017546	969	860				90% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	Bygget disponerer i dag ca 55p-plasser, hvorav 35 p.t er reservert Bufetat. Opsjon på ytterligere 6-8 plasser for 1500-2000 pr. plass pr. år	1454000		128876														* utleier reduserer leien med et beløp på nok 187500 pr år fom 01.08.2032 ved forlengelse.
5129 - Just Brochs gate 13, 2321 Hamar	Hedmark ungdoms- og familiesenter, avdeling Disen			01.11.2021	30.11.2031	Stiftelsen Disen Kulturveksttun	2		Aktiv	Hamar	Just Brochs gate 13	05 - Øst	10 - Innlandet	Formålsbygg	550	5	Akutt	Just Brochs gate 13, 2321 Hamar	Hamar		1	5837	3403	971291710	550					100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	17 p-plasser hvorav 3 disponeres eksklusivt av leietaker	420000		52000														
5159 - Storgata 10- Gjøvik	Familievernkontoret Innlandet Vest - Gjøvik			01.09.2023	31.08.2033	Storgata 10 AS	2		Aktiv	Gjøvik	Storgata 10	05 - Øst	10 - Innlandet	Familievernkontor	665				Gjøvik		67	1041	3407	989341219	664	554				100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	inkluderer ikke parkeringsplassene	465360		206088														
5161 - Bruvegen 6, 2260 Kirkenær	Kirkenær barnevern og omsorgssenter, Garasje / lager			11.01.2013	11.01.2099	Grue Næringsselskap AS	2		Aktiv	Kirkenær	Bruvegen 6	05 - Øst	10 - Innlandet	Formålsbygg	101	0		Bruvegen 6, 2260 Kirkenær	Grue		16	99	3417	983392083	100					100% av KPI på leie			22205																
5161 - Veslekila 3A1, 2260 Kirkenær	Kirkenær barnevern og omsorgssenter, leilighet			01.10.2013	01.10.2099	Vestlandske boligstiftelse	2		Aktiv	Kirkenær	Veslekila 3A	05 - Øst	10 - Innlandet	Formålsbygg	74	0		Veslekila 3A, 2260 Kirkenær																															
5902 - Trondheimsveien 205,2050 Jessheim	Akershus ungdoms- og familiesenter, avdeling Tjernlia			01.01.2024	31.12.2033	Statsbygg	1		Aktiv	Jessheim	Trondheimsvegen - Jessheim 205	05 - Øst	11 - Oslo og Viken	Formålsbygg	875	5	Akutt omsorg	Trondheimsvegen 205, 2050 Jessheim	Ullensaker		136	140	3209	971278374	713				16296	80% av KPI på leie - 100% av KPI på indre vedlikehold	JA, må vasle utleier om forlengelse min 6 mnd før utløp		618732			109188	42780	60											
5903 - Kantarellveien 4, 1708 Sarpsborg	Akershus ungdoms- og familiesenter, avdeling Jibbe			01.12.2020	30.11.2099	Pedersen Perspective v/ Per Egil Pedersen	2		Aktiv	Sarpsborg	Kantarellveien 4	05 - Øst	11 - Oslo og Viken	Formålsbygg	412	5	Akutt omsorg	Kantarellveien 4, 1708 Sarpsborg	Sarpsborg		2060	13	3105	privat	809					100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	Parkeringsplasser for 10 biler på eiendommen.	420000																
5904 - Kroerveien 9, 1540 Vestby	Behandlingssenter Akershus_Østfold, avdeling Kroerveien			01.01.2024	31.12.2033	Statsbygg	1		Aktiv	Vestby	Kroerveien 9	05 - Øst	11 - Oslo og Viken	Formålsbygg	767	4	Akutt adferd	Kroerveien 9, 1540 Vestby	Vestby		9	4	3216	971278374	767				4013	100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp		607000			296800	61376	80											
5905 - Bjørlistubben 14, 1540 Vestby	Akershus ungdoms- og familiesenter, avdeling Bjørlien			12.01.2017	01.01.2099	J&B Eiendom AS - J&B Eiendom AS	2		Aktiv	Vestby	Bjørlistubben 14	05 - Øst	11 - Oslo og Viken	Formålsbygg	237	4	Akutt omsorg	Bjørlistubben 14, 1542 Vestby	Vestby		6	38	3216	995407671	237					100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	Parkeringsareal ca 300 kvm																	
5906 - Njords vei 11, 1540 Vestby	Akershus ungdoms- og familiesenter, avdeling Sole			01.01.2024	31.12.2033	Statsbygg	1		Aktiv	Vestby	Njords vei 11	05 - Øst	11 - Oslo og Viken	Formålsbygg	1033	5	Omsorg	Njords vei 11,1540 Vestby	Vestby		9	309	3216	971278374	1033				7128	100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp		870000			403800	82688	80											
5907 - Glynitveien 30, 1400 Ski	Faggrupper i Ski, kontorlokaler			01.01.2021	31.12.2030	Follo Business Center AS	2		Aktiv	Ski	Glynitveien 30	05 - Øst	11 - Oslo og Viken	Kontor	389			Glynitveien 30, 1400 Ski	Nordre Follo		141	100	3207	921012829	389					100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	inkl 7 faste p-plasser. Ytteligere faktureres m/500,- per plass per mnd.	641850		121756							80134							
5908 - Storveien 121, 1621 Gressvik	Borg barne- og familiesenter, avdeling Moringen			01.01.2024	31.12.2028	Statsbygg	1		Aktiv	Gressvik	Storveien 121	05 - Øst	11 - Oslo og Viken	Formålsbygg	569	0	SFB		Fredrikstad				3107	971278374																									* Tllegskontrakt er lagt inn 2 ganger i stedet for hovedkontrakt og tilleggskontrakt
5909 - Elias Smiths vei 22-24, 1337 Sandvika	Familievernkontoret Asker og Bærum			02.01.2018	31.01.2028	Sandvika Business Center AS	2		Aktiv	Sandvika	Elias Smiths vei 22-24	05 - Øst	11 - Oslo og Viken	Familievernkontor	1392			Elias Smiths vei 22-24, 1337 Sandvika	Bærum		52	30	3201	992218835	1392	1189				100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	inkl 5 faste p-plasser	2839680		452400						96000	372000							*2 alternative leietider i leiekontrakt.
5910 - Torget 6, 2000 Lillestrøm	Familievernkontoret Lillestrøm			02.03.2020	28.02.2030	Lillestrm Torv AS	2		Aktiv	Lillestrøm	Torget 6	05 - Øst	11 - Oslo og Viken	Familievernkontor	1308			Torvet 6, 2000 Lillestrøm	Lillestrøm		81	40	Lillestrøm	976006267	1308	1119				80% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	Rett til å leie 2 parkeringsplasser	2414568		77172							602988							* mulig utløp 28.02.2030 - avhengig av oppstart.
5911 - Henrik Gerners gate 14, 1530 Moss	Familievernkontoret Østfold, avdeling Moss			01.01.2024	31.12.2034	Kvernerhuset	2		Aktiv	Moss	Henrik Gerners gate 14	05 - Øst	11 - Oslo og Viken	Familievernkontor	495			Henrich Gerners gate 14, 1530 Moss	Moss		2	1181	3103	975349225	449	367				100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp		5980000109		74085														
5912 - Glemmengaten 55, 1608 Fredrikstad	Familievernkontoret Østfold, avdeling Fredrikstad			07.01.2010	30.06.2030	Glemmengaten DA	2		Aktiv	Fredrikstad	Glemmengaten 55	05 - Øst	11 - Oslo og Viken	Familievernkontor	1006			Glemmengata 55, 1608 Fredrikstad	Fredrikstad		300	561 m.fl.	3107	987035676	901	819	#ERROR!			100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	Fri parkering for 4 plasser. Ut over dette: 800,- per mnd per plass			135160														
5914 - Energiveien 14, 2069 Jessheim	Familievernkontoret Øvre Romerike Glåmdal, avdeling Jessheim			01.01.2020	31.12.2029	Realkapital Jessheim Næringspark AS	2		Aktiv	Jessheim	Energiveien 14	05 - Øst	11 - Oslo og Viken	Familievernkontor	646			Energivegen 14, 2260 Kirkenær	Grue		7	178	3417	917471355	646	606				100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	inkl 5 faste p-plasser	1195100		74936							129200							
5915 - Gågata 5, 2211 Kongsvinger	Familievernkontoret Øvre Romerike Glåmdal, avdeling Kongsvinger			02.01.2021	31.12.2030	KB Gruppen, Kongsvinger AS	2		Aktiv	Kongsvinger	Gågata 5	05 - Øst	11 - Oslo og Viken	Familievernkontor	319			Gågata 5, 2211 Kongsvinger	Kongsvinger		27	28	3401	998734576	319	259				100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	inkl 1 p-plass	415220		72636														
5916 - Storgata 11, 3510 Hønefoss	Ringerike omsorgssenter, avdeling administrasjon, kontorlokaler			02.01.2019	31.12.2029	Offentlig bygg Hønefoss AS - Offentligbygg Hønefoss AS	2		Aktiv	Hønefoss	Storgaten 11	05 - Øst	11 - Oslo og Viken	Kontor	251			Storgaten 11, 3510 Hønefoss	Ringerike		318	71	3305	988843954	251	240					JA, må vasle utleier om forlengelse min 12 mnd før utløp	ikke inkl i hovedavtale - foreligger tilbud om 1 plass til 561 pr. mnd. Pr. plass.	245980		70300														
5917 - Korpåsen 172, 1386 Asker	Gulhella barne- og familiesenter			01.01.2024	31.12.2033	Statsbygg	1		Aktiv	Asker	Korpåsen 172	05 - Øst	11 - Oslo og Viken	Formålsbygg	1056	0	BFS	Korpåsen 172, 1386 Asker	Asker		61	696	3203	971278374	1056				6142	100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp		1419000			456500	84536	80											
5919 - Liaveien 2, 4, 6, 1930 Aurskog	Lierfoss ungdoms- og familiesenter, avdeling Autentoppen, Berglia, Furulia			01.01.2024	31.12.2028	Statsbygg	1		Aktiv	Aurskog	Liaveien 2	05 - Øst	11 - Oslo og Viken	Formålsbygg	927	4	Akutt	Liaveien 2, 4 og 6, 1930 Aurskog	Aurskog-Høland		171	40	3226	971278374	927				8774	80% av KPI på leie - 100% av KPI på indre vedlikehold	JA, må vasle utleier om forlengelse min 6 mnd før utløp		705864			69525	55620	60											
5924 - Tærudgata 16, 2004 Lillestrøm	Regionkontoret, region øst, kontorlokaler			01.02.2018	31.12.2028	OBOS / Jernbanegata Lillestrøm AS	2		Aktiv	Lillestrøm	Tærudgata 16	05 - Øst	11 - Oslo og Viken	Kontor	3955			Tærudgata 16, 2004 Lillestrøm	Lillestrøm		81	2477	3030	992809558	3955	3190	#ERROR!			100% av KPI på leie	JA, må vasle utleier om forlengelse min 6 mnd før utløp		8,00888E+11		14831248910							1582000							
5926 - Snytasvingen, 3519 Hønefoss	Ringerike omsorgssenter, avdeling Snyta			01.01.2020	30.11.2025	Jensen, Morten	2		Aktiv	Hønefoss	Askveien 132	05 - Øst	11 - Oslo og Viken	Formålsbygg	350			Snytasvingen, 3519 Hønefoss	Ringerike		42	37	3305	privat	ikke oppgitt					100% av KPI på leie	Leieforholdet løpet på ubestemt tid	Garasje med carport på eiendommen	292388																
5927 - Egge Gård, 3514 Hønefoss	Ringerike omsorgssenter, avdeling Egge			11.01.2019	01.01.2099	Røisi, Oddvar	2		Aktiv	Hønefoss	Egge gård	05 - Øst	11 - Oslo og Viken	Formålsbygg	300			Egge gård, 3514 Hønefoss	Ringerike		94	2	3305	969925281	ikke oppgitt					100% av KPI på leie	Leieforholdet løpet på ubestemt tid	Parkeringsplasser på eiendommen	203400																
5928 - Storgata 56-58, 2609 Lillehammer	Fosterhjemstjenesten Innlandet, kontorlokaler			01.01.2021	31.12.2030	Tema Næringsbygg	2		Aktiv	Lillehammer	Storgata 56-58	05 - Øst	10 - Innlandet	Kontor	299			Storgata 56 58, 2609 Lillehammer	Lillehammer		200	1538 og 45	3405	991634908	(299 inkl andel fellesareal)	225					JA, må vasle utleier om forlengelse min 12 mnd før utløp	3 plasser - faktureres i tillegg til leiesum ref. bilag 9	396773		96740						21600	47000							
5929 - Ramsrudveien 32, 3518 Hønefoss	Ringerike omsorgssenter, avdeling Ramsrud			08.01.2019	01.01.2099	H. Berger Eiendom AS	2		Aktiv	Hønefoss	Ramsrudveien 32	05 - Øst	11 - Oslo og Viken	Formålsbygg	284			Ramsrudveien 32, 3511 Hønefoss	Ringerike		55	33	3305	922347581	542					100% av KPI på leie	Leieforholdet løpet på ubestemt tid	Parkeringsplass for biler på eiendommen	384000																
5931 - Åsaveien 662, 3512 Hønefoss	Ringerike omsorgssenter, avdeling Solstrand			01.01.2024	31.12.2026	Statsbygg	1		Aktiv	Hønefoss	Åsaveien 662	05 - Øst	11 - Oslo og Viken	Formålsbygg	489			Åsaveien 662, 3512 Hønefoss	Ringerike		27	27	3305	971278374	489					80% av KPI på leie - 100% av KPI på indre vedlikehold	JA, må vasle utleier om forlengelse min 6 mnd før utløp		318000			44010	29340	60											
5932 - Østheimveien 14, 1630 Gamle Fredrikstad	Behandlingssenter Akershus_Østfold, avdeling Østheim			02.01.2012	01.01.2099	Stiftelsen Østheim og statsbygg	2		Aktiv	Gamle Fredrikstad	Østheimveien 14	05 - Øst	11 - Oslo og Viken	Formålsbygg	450	3	Akutt adferd	Østheimveien 14, 1630 Gamle Fredrikstad	Fredrikstad		303	1219	3107	955239784	ikke oppgitt					100% av KPI på leie			110400																
5933 - Stasjonsveien 16B, 1746 Skjeberg	Behandlingssenter Akershus_Østfold, avdeling Østlund			01.01.2018	31.12.2099	Oppegaard, Marie	2		Aktiv	Skjeberg	Stasjonsveien 16B	05 - Øst	11 - Oslo og Viken	Formålsbygg	360	3	Behandling lav	Stasjonsveien 16B, 1746 Skjeberg	Sarpsborg		1022	159	3105	privat	360					100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	Parkeringsplass for ca 6 biler og en garasje	384000																* Leie enten 29000/32000 - avhengig av å bruke loft som boareal.
5934 - Lundebyveien 363, 1878 Hærland	Behandlingssenter Akershus_Østfold, hytter Hærland			01.10.2020	01.10.2099	Karlsrud, Arnstein	2		Aktiv	Hærland	Lundebyveien 363	05 - Øst	11 - Oslo og Viken	Formålsbygg	160	0		Lundebyveien 363, 1878 Hærland																															
5935 - Sundløkkaveien 73, 1659 Torp	Faggrupper i Sarpsborg, kontorlokaler			01.01.2013	31.12.2027	Skolt Eiendom AS	2		Aktiv	Torp	Sundløkkaveien 73	05 - Øst	11 - Oslo og Viken	Kontor	2177			Sundløkkaveien 73, 1659 Torp	Fredrikstad		641	52	3107	989071408	2177	2074				100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	Leieobjektet inkluderer 20 parkeringsplasser for personbil til ansatte innenfor parkeringsområdet tilhørende eiendommen…	3983910		195932														
5936 - Marmorveien 23, 2818 Gjøvik	Seljelia barne- og familiesenter			01.01.2024	31.12.2033	Statsbygg	1		Aktiv	Gjøvik	Marmorveien 23	05 - Øst	10 - Innlandet	Formålsbygg	1464	0		Marmorvegen 23, 2818 Gjøvik	Gjøvik		64	451	3407	971278374	1464				5954	100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp		1156000			380200	117160	80											
5937 - Nordsetvegen 227	Nordsetvegen 227 (Oppstart antatt 01.04.2026)					Statsbygg	1		Aktiv	Reinsvoll	Nordsetvegen 227	05 - Øst	10 - Innlandet	Formålsbygg	701	3	Behandling høy	Nordsetvegen 227, 2840 Reinsvoll							Oppstart antatt: 01.04.2026																								
5938 - Rokkeveien 502, 1763 Halden	Østfold ungdoms- og familiesenter, avdeling Eika og Rokkeveien			09.01.2020	31.08.2026	Damgaard, Robin	2		Aktiv	Halden	Rokkeveien 502	05 - Øst	11 - Oslo og Viken	Formålsbygg	265	4	Omsorg	Rokkeveien 502, 1763 Halden	Halden		123	3	3101	privat	265 + loft og garasje					100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	Parkeringsplass/garasje																	* Det vise til et tilbygg. Leie 32542 før tilbygg og 48000 etter tilbygg per mnd.
5939 - Alfheimvn 6, 1779 Halden	Østfold ungdoms- og familiesenter, avdeling Alfheim			01.01.2004	01.01.2099	Halden kommune	2		Aktiv	Halden	Alfheimvn 6	05 - Øst	11 - Oslo og Viken	Formålsbygg	570	6	Omsorg	Alfheimvn 6, 1779 Halden																															
5940 - Kindsåsveien 2, 3533 Tyristrand	Kindsåsveien 2, 3533 Tyristrand (aktiv fra høst 2025)					Holth Prosjekt AS	2		Aktiv	Tyristrand	Kindsåsveien 2	05 - Øst	11 - Oslo og Viken	Formålsbygg	275	0		Kindsåsveien 2, 3533 Tyristrand	Ringerike		254	3	3007	919647183	275	265				80% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	2 p-plasser inkl	480000																
5940 - Ullsvei 16, 1782 Halden	Østfold ungdoms- og familiesenter - Hybel			01.01.2004	01.01.2099	Stiftelsen Halden Ungdomsboliger - Stiftelsen Halden Ungdomsboliger	2		Aktiv	Halden	Ullsvei 16	05 - Øst	11 - Oslo og Viken	Formålsbygg	45	0		Ulls vei 16, 1782 Halden	Halden		64	226	3101	850568502	ikke oppgitt					100% av KPI på leie	Leieforholdet løpet på ubestemt tid																		
5942 - Kurlandveien 12, 1727 Sarpsborg	Østfold ungdoms- og familiesenter, avdeling Kurland			01.09.2022	31.08.2042	Statsbygg	1		Aktiv	Sarpsborg	Kurlandveien 12	05 - Øst	11 - Oslo og Viken	Formålsbygg	795	4	Omsorg	Kurlandveien 12, 1727 Sarpsborg	Sarpsborg		1	3866	3105	971278374	592				3600	80% av KPI på leie - 100% av KPI på indre vedlikehold	JA, må vasle utleier om forlengelse min 6 mnd før utløp		377000			72000	35500	60											
5946 - Uglevn 1, 1712 Grålum	Østfold ungdoms- og familiesenter, avdeling Tune			01.01.2006	31.12.2035	Statsbygg	1		Aktiv	Grålum	Uglevn 1	05 - Øst	11 - Oslo og Viken	Formålsbygg	1009	7	Omsorg	Ugleveien 1, 1712 Grålum	Sarpsborg		2066	345 og 451	3105	971278374	1009					80% av KPI på leie - 100% av KPI på indre vedlikehold	JA, må vasle utleier om forlengelse min 6 mnd før utløp		1739000			97000	60000	60											* Mangler usladdet tilleggskontrakt
5947 - Vestrevei 1, 1710 Sarpsborg	Østfold ungdoms- og familisenter - Hybel			01.12.2019	01.01.2099	Vestre vei Eiendom AS	2		Aktiv	Sarpsborg	Vestrevei 1	05 - Øst	11 - Oslo og Viken	Formålsbygg	15	0		Vestrevei 1 1710 Sarpsborg	Sarpsborg		2063	81	3105	987895314	ikke oppgitt					100% av KPI på leie		Parkering: JA	66000																* Areal iht vedlagte plantegninger - ikke vedlagt
5949 - Stenliveien 7, 1784 Halden	Østfold ungdoms- og familiesenter - Hybel			01.06.2022	01.01.2099	Ingerø, Hanne	2		Aktiv	Halden	Stenliveien 7	05 - Øst	11 - Oslo og Viken	Formålsbygg	30	0		Stenliveien 7, 1784 Halden	Halden		98	875	3101	privat	30					100% av KPI på leie			72000																* Utydelig kontrakt
5951 - Solfallsveien 27, 1435 Ås	Behandlingssenter Akershus_Østfold, avdeling Ås			11.01.2005	31.10.2035	Statsbygg	1		Aktiv	Ås	Solfallsveien 27	05 - Øst	11 - Oslo og Viken	Formålsbygg	2242	4	Behandling høy	Solfallsveien 27, 1435 Ås	Ås		55	17	3218	971278374	2242				14324	80% av KPI på leie - 100% av KPI på indre vedlikehold	JA, må vasle utleier om forlengelse min 6 mnd før utløp		4485000			214800	135000	60											
5952 - Riserveien 40A/B, 1930 Aurskog	Lierfoss ungdoms- og familiesenter, avd Riserhagen			15.10.2021	15.10.2026	Aurskog-Høland kommune	2		Aktiv	Aurskog	Riserveien 40A/B	05 - Øst	11 - Oslo og Viken	Formålsbygg	570	4	Omsorg	Riserveien 40A og B, 1930 Aurskog	Aurskog-Høland		192	1 (fnr 149)	3226	948164256	570					100% av KPI på leie	JA, må vasle utleier om forlengelse min 6 mnd før utløp	4 stk parkeringsplasser i carport, samt biloppstillingsplasserved siden av bygget.	588000																
5953 - Hovdenveien 159, 1708 Sarpsborg	Østfold ungdoms- og familiesenter - enetiltak behandling høy			01.09.2023	31.08.2099	Aberia Ung AS	2		Aktiv	Sarpsborg	Hovdenveien 159	05 - Øst	11 - Oslo og Viken	Formålsbygg	360	1	Behandling høy	Hovdenveien 159, 1708 Sarpsborg	Sarpsborg		2011	13	3105	984331584	360					100% av KPI på leie	Leieforholdet løpet på ubestemt tid	Parkeringsplass for biler på eiendommen	336000																
5954 - Storveien 1404/1408, 1950 Rømskog	Lierfoss ungdoms- og familiesenter, avdeling Skogtun (Bunes)			01.11.2023	30.10.2028	X-TEAM AS	2		Aktiv	Rømskog	Storveien 1404	05 - Øst	11 - Oslo og Viken	Formålsbygg	1303	5	Omsorg	Storveien 1404, 1950 Rømskog	Aurskog-Høland		266	6	3226	990884196	1303					80% av KPI på leie	JA, må vasle utleier om forlengelse min 6 mnd før utløp	Leieobjekt består av parkeringsplass/garasje	1320000																
5955 - Kanalveien 18, 2004 Lillestrøm	Regionkontoret, region øst, lager 1.etg			01.11.2018	31.12.2028	Portalen Forretning AS	2		Aktiv	Lillestrøm	Kanalveien 18	05 - Øst	11 - Oslo og Viken	Kontor	30			Kanalveien 18, 2000 Lillestrøm																															
5956 - Bjørndalsvegen 178, 2150 Årnes	Lierfoss ungdoms- og familiesenter, hytte Bjørndalen			01.01.2017	01.07.2026	Stangeskovene AS	2		Aktiv	Aurskog	Bjørndalsvegen 178	05 - Øst	11 - Oslo og Viken	Formålsbygg	200	0		Bjørndalsvegen 178, 2150 Årnes	Nes		159	1	3228	916193971	ikke oppgitt					100% av KPI på leie	JA, må vasle utleier om forlengelse min 3 mnd før utløp		100500																
5957 - Bekkegata 2A, 3513 Hønefoss	Ringerike omsorgsenter, avdeling Bredal			01.02.2024	31.01.2029	Hole utbyggings- og eiendomsselskap	2		Aktiv	Hønefoss	Bekkegata 2A	05 - Øst	11 - Oslo og Viken	Formålsbygg	232			Bekkegata 2A, 3513 Hønefoss	Ringerike		317	609 (leil 1 &2)	3305	925230731	232				500	100% av KPI på leie	JA, må vasle utleier om forlengelse min 6 mnd før utløp	Leieobjektet inkluderer p-plasser på egen tomt og i garasje.	396000		48000														
5958 - Rådhusgata 16, 1380 Askim	Familievernkontoret Østfold avdeling Askim			01.01.2023	31.12.2032	Sentrumskvartalet Askim AS	2		Aktiv	Askim	Rådhusgata 16	05 - Øst	11 - Oslo og Viken	Familievernkontor	356			Rådhusgata 16, 1830 Askim	Indre Østfold		80	16 (snr 1)	3118	928583252	355					100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	ikke inkl	853440		120700														* Står Skolegata 6 som adresse i PDF-kontrakt - Ser ut som matrikekl kan være feil.
6011 - Furene 8	Furene 8 - FVK Ålesund-Volda (avdelingskontor)			15.02.2022	15.02.2032	AS Terminalbygg	2		Aktiv	Volda	Furene 8	02 - Midt-Norge	04 - Møre og Romsdal	Familievernkontor	208			Furene 8, 6105 Volda	Volda		11	76	1577	936488889	208					100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp		291200		25000														
6121 - Bufdir Hovedkontor	Bufdir Helsfyr			16.08.2018	15.08.2028	Gasmann Eiendom AS	2		Aktiv	Oslo	Fredrik Selmers vei 3	06 - Bufdir	12 - Bufdir	Kontor	5839			Fredrik Selmers vei 3, 0663 Oslo	Oslo					924776978	5839																								
