Lokalisering	Avtalenavn	Elements	Tilstandsgrad	Startdato	Sluttdato	Utleier	Utleier kategori	Hjemmelshaver	Status	Poststed	Adresselinje 1	Lok: Distrikt	Lok: Område	Type lokasjon	Areal	Antall godkjente plasser	Målgruppe	Adresse og Postnummer	kommunenavn	Fylke	Matrikkel Gnr	Matrikkel Bnr	Matrikkel Knr	org nr utleier	Areal inkl fellesareal i leiekontrakt (kvm)	Eksklusivt areal i leiekontrakt (kvm)	Tillegsareal iht addendum (kvm)	Reduksjon iht addendum (kvm)	tomteareal	leieregulering	Forlengelse og vilkår	p-plasser	Kontraktsleie ved oppstart (per år)	Kontraktsleie økning/reduksjon	Felleskostnader per år (ved kontraktsinngåelse)	Brukeravhengige driftskostander - Første driftsår	Kostnad til indre vedlikehold per år	Indre vedlikehold pr/kvm	Kostnader: kommunale gebyrer og renovasjon	Kostnad kortleser	Parkeringsleie kr per år	Merverdikompensasjon per år	Vaktmestertjenester kr per år	Energi til leieobjektet kr per år	Oppvarming pr år	Renhold pr år	Kontantinnskudd kr	Betaling administrativt arbeid Statsbygg	kommentar
4717 - Bufetathus Arendal	Bufetathus Arendal 2 etg - Harebakken BFS			22.06.2022	30.06.2032	Langsæveien 6 AS	2		Aktiv	Arendal	Langsæveien 6	04 - Sør	07 - Agder	Formålsbygg	567	0	BFS	Langsæveien 6, 4846 Arendal 2 etasje	Arendal		38	137	4203	922860424	567	509				100% av KPI på leie	JA, må vasle utleier om forlengelse min 18 mnd før utløp		936705		50000														*Mangler alle bilag til leieavtalen.
4718 - Justøy	Justøy			26.08.2024	26.08.2034	Ulna AS	2		Aktiv	Brekkestø	Justøyveien 493	04 - Sør	07 - Agder	Formålsbygg	425	1	Behandling høy	Justøyveien 493, 4780 Brekkestø	Lillesand				4215		425																								
4801 - Barkåker	Barkåker			01.06.2011	30.10.2045	Statsbygg	1		Aktiv	Barkåker	Kantarellveien 25	04 - Sør	08 - Vestfold og Telemark	Formålsbygg	1307	8	Akutt adferd	Kantarellveien 25, 3157 Barkåker	Tønsberg		58	45	3901	971278374	1307					80% av KPI på leie - 100% av KPI på indre vedlikehold	JA, må vasle utleier om forlengelse min 6 mnd før utløp		3103000			223000	78456	60											*Mangler vedlegg til kontrakt A (Tegninger datert 24.03.2010), B Ansvarsfordeling mellom leir og utleier
4802 - Thorøya Vaktmesterbolig	Thorøya Vaktmesterbolig			01.06.2025	31.05.2030	AS Thor Dahl	2		Aktiv	Sandefjord	Thorøyaveien 1	04 - Sør	08 - Vestfold og Telemark	Formålsbygg	262	0		Thorøyaveien 5, 3209 Sandefjord	Sandefjord																														
4803 - Thorøya	Thorøya			20.04.2005	31.12.2025	AS Thor Dahl	2		Aktiv	Sandefjord	Thorøyaveien 5	04 - Sør	08 - Vestfold og Telemark	Formålsbygg	1357	6	Omsorg	Thorøyaveien 5, 3209 Sandefjord	Sandefjord		130	245	3804	922850097	1097					100% av KPI på leie	JA, må vasle utleier om forlengelse min 6 mnd før utløp	20 p-plasser																	
4804 - Skjerven	Skjerven			01.01.2004	31.12.2028		1		Aktiv	Svarstad	Damtjernveien 598	04 - Sør	08 - Vestfold og Telemark	Formålsbygg	1667	4	Rus	Damptjernveien 598, 32 Svarstad	Lardal (Nå Larvik)		99	2 og 17	3805	971278374	1497		#ERROR!			80% av KPI på leie - 100% av KPI på indre vedlikehold	JA, må vasle utleier om forlengelse min 6 mnd før utløp		773000			1,1592E+14	7,72809E+12	60532015											
4804 - Skjerven	Skjerven - Leilighetsbygget			01.11.2015	31.12.2028	Statsbygg	1		Aktiv	Svarstad	Damtjernveien 598	04 - Sør	08 - Vestfold og Telemark	Formålsbygg	0	0		Damptjernveien 598, 32 Svarstad	Lardal (Nå Larvik)		99	2 og 17	3805	971278374	se hovedkontrakt					80% av KPI på leie - 100% av KPI på indre vedlikehold	JA, må vasle utleier om forlengelse min 6 mnd før utløp																		
4807 - Regionkontoret region sør	Vestfold Inntak, fosterhjem, familiehjem, bfs 3.etg			01.01.2020	31.12.2029	Anton Jenssens gt. 2 AS	2		Aktiv	Tønsberg	Anton Jenssens gate 2	04 - Sør	08 - Vestfold og Telemark	Kontor	2530			Anton Jensens gate 2, 3125 Tønsberg	Tønsberg		1012	71	3901	915792472	2443	2217				100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	35 plasser*	4030950		1954400														* Se vilkår i kontrakt bilag 8
4807 - Regionkontoret region sør	Regionkontoret region sør og Familievernkontoret 2 etg og 4 etg			01.07.2020	30.06.2029	Anton Jenssens gt. 2 AS	2		Aktiv	Tønsberg	Anton Jenssens gate 2	04 - Sør	08 - Vestfold og Telemark	Kontor	1096			Anton Jensens gate 2, 3125 Tønsberg	Tønsberg		1012	71	3901	915792472	1048	933				100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	15 plasser*	1778624		232000														* Se vilkår i kontrakt bilag 8
4811 - Stokke barnesenter	Stokke barnesenter			01.01.2004	31.12.2033	Statsbygg	1		Aktiv	Stokke	Grimestadveien 69	04 - Sør	08 - Vestfold og Telemark	Formålsbygg	639	4	Omsorg	Grimestadveien 69, 3160 Stokke	Sandefjord		420	37	3804	971278374	608				2464	100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	Ikke aktuelt	532000			305000	48680	80											* Mangler vedlegg A (Kart og tegninger) og vedlegg C (Energiattest)
4816 - Kjørbekk	Kjørbekk			01.01.2004	31.12.2033	Statsbygg	1		Aktiv	Skien	Kjørbekksvingen 38	04 - Sør	08 - Vestfold og Telemark	Formålsbygg	547	6	Omsorg	Kjørbekksvingen 38, 3735 Skien	Skien		220	1507	4003	971278374	547				1945	100% av KPI på leie, eventuell leie på parkeringsplasser, og vederlag for indre vedlikehold.	JA, må vasle utleier om forlengelse min 12 mnd før utløp	Ikke aktuelt	418000			215000	43760	80											Mangler vedlegg A (kart og tegninger av leieobjektet) og C (Energiattest)
4817 - Miljøheimen	Miljøheimen			01.01.2004	31.12.2033	Statsbygg	1		Aktiv	Vinje	Haugetuft 16-18	04 - Sør	08 - Vestfold og Telemark	Formålsbygg	754	6	Omsorg	Haugetuft 16-18, 3890 Vinje	Vinje		35	9, 1 (fnr: 36), 16 (Fnr: 8)	4036	971278374	801				3308	100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	ikke aktuelt	491000			265000	64136	80											* Mangler vedlegg A (Kart og tegninger) og vedlegg C (Energiattest)
4818 - Gulset	Gulset			01.07.2012	31.12.2032	Statsbygg	1		Aktiv	Skien	Gulsetringen 313	04 - Sør	08 - Vestfold og Telemark	Formålsbygg	881	0	BFS	Svaleveien 6B, 3742 Skien	Skien		5	128, 254 og 288	4003	971278374	1455					80% av KPI på leie - 100% av KPI på indre vedlikehold	JA, må vasle utleier om forlengelse min 6 mnd før utløp						5,19602E+13	6040,2012											*se 2 tillegg til leiekontrakt. Økt størrelse på leielighet og nytt administrasjonsbygg.
4820 - Bufetathus Telemark	Bufetathus Telemark			01.03.2009	28.02.2027	Sameiet Scweigaardsgt. 11 v/kontorbygg AS	2		Aktiv	Skien	Schweigaardsgt 11	04 - Sør	08 - Vestfold og Telemark	Kontor	1281			Schweigaardsgt 11, 3717 Skien																															
4821 - Grøterød	Grøterød			15.08.2021	31.07.2051	Statsbygg	1		Aktiv	Larvik	Geiteramsveien 81	04 - Sør	08 - Vestfold og Telemark	Formålsbygg	1622	10	Omsorg	Kløvertunet, 3268 Larvik	Larvik		4063	1	3805	971278374	1622					100% av KPI på leie	JA, må vasle utleier om forlengelse min 9 mnd før utløp	17 + 2HC inngår i leie	5177000			383000	82000	51											
